Date,hash_rate,mempool_size,block_size
2009-11-01,,,0.00021528
2009-11-03,2.83348536888889e-06,,
2009-11-05,,,0.000215465517241379
2009-11-07,3.77798049185185e-06,,
2009-11-09,,,0.0002156875
2009-11-11,3.43000860444444e-06,,
2009-11-13,,,0.00023845
2009-11-15,4.77218588444444e-06,,
2009-11-17,,,0.000215663043478261
2009-11-19,3.62884968296296e-06,,
2009-11-21,,,0.000215712328767123
2009-11-23,4.77218588444444e-06,,
2009-11-25,,,0.000215644444444444
2009-11-27,3.72827022222222e-06,,
2009-11-29,,,0.000215683333333333
2009-12-01,3.28087779555556e-06,,
2009-12-03,,,0.000215784090909091
2009-12-05,2.58493402074074e-06,,
2009-12-07,,,0.000215642857142857
2009-12-09,4.67276534518518e-06,,
2009-12-11,,,0.000215348214285714
2009-12-13,5.16986804148148e-06,,
2009-12-15,,,0.000226945454545455
2009-12-17,8.00335341037037e-06,,
2009-12-19,,,0.000216717171717172
2009-12-21,9.29582042074074e-06,,
2009-12-23,,,0.000215675324675325
2009-12-25,7.80451233185185e-06,,
2009-12-27,,,0.000219796407185629
2009-12-29,8.15248421925926e-06,,
2009-12-31,,,0.000215695652173913
2010-01-02,7.6442931234091e-06,,
2010-01-04,,,0.000269044198895028
2010-01-06,9.29075625768183e-06,,
2010-01-08,,,0.000215758169934641
2010-01-10,1.12312306659318e-05,,
2010-01-12,,,0.000372012578616352
2010-01-14,1.02502484902837e-05,,
2010-01-16,,,0.00022228
2010-01-18,8.4337487578284e-06,,
2010-01-20,,,0.000215449367088608
2010-01-22,9.73124856672508e-06,,
2010-01-24,,,0.000216701298701299
2010-01-26,1.34980007194616e-05,,
2010-01-28,,,0.000229564971751413
2010-01-30,1.20279214331836e-05,,
2010-02-01,,,0.00023391847826087
2010-02-03,1.62376939347979e-05,,
2010-02-05,,,0.000342730941704035
2010-02-07,1.87139403823172e-05,,
2010-02-09,,,0.000446835748792271
2010-02-11,1.60921806186109e-05,,
2010-02-13,,,0.00025873275862069
2010-02-15,2.32460914215077e-05,,
2010-02-17,,,0.000234020920502092
2010-02-19,2.24921641321615e-05,,
2010-02-21,,,0.00028122869955157
2010-02-23,3.15392916043158e-05,,
2010-02-25,,,0.000322883116883117
2010-02-27,3.25176751436248e-05,,
2010-03-01,,,0.000235358974358975
2010-03-03,2.78185891402109e-05,,
2010-03-05,,,0.000217988304093567
2010-03-07,3.25176751436248e-05,,
2010-03-09,,,0.000279438356164384
2010-03-11,3.28852291444466e-05,,
2010-03-13,,,0.000242718954248366
2010-03-15,2.79299206432286e-05,,
2010-03-17,,,0.000238169117647059
2010-03-19,2.99570923028178e-05,,
2010-03-21,,,0.000223371584699454
2010-03-23,4.65217732310883e-05,,
2010-03-25,,,0.000430716577540107
2010-03-27,3.9486773376631e-05,,
2010-03-29,,,0.000258548717948718
2010-03-31,4.69756441894404e-05,,
2010-04-02,,,0.000231730769230769
2010-04-04,5.02167758384825e-05,,
2010-04-06,,,0.000296276729559749
2010-04-08,5.89895860753258e-05,,
2010-04-10,,,0.000350899999999999
2010-04-12,8.43531550865232e-05,,
2010-04-14,,,0.000311872222222222
2010-04-16,7.85222918316944e-05,,
2010-04-18,,,0.00361962857142857
2010-04-20,7.96884644826601e-05,,
2010-04-22,,,0.00028022641509434
2010-04-24,8.37744517822657e-05,,
2010-04-26,,,0.000320731707317073
2010-04-28,9.9731490216983e-05,,
2010-04-30,,,0.000274270833333334
2010-05-02,9.68820190679263e-05,,
2010-05-04,,,0.000426367647058824
2010-05-06,9.64491901786208e-05,,
2010-05-08,,,0.000434967532467533
2010-05-10,8.75068811554374e-05,,
2010-05-12,,,0.000367579365079365
2010-05-14,7.66483630558576e-05,,
2010-05-16,,,0.000273385964912281
2010-05-18,0.000107307708278201,,
2010-05-20,,,0.000274517241379311
2010-05-22,0.000113064805519858,,
2010-05-24,,,0.000311515957446809
2010-05-26,0.000124842389428177,,
2010-05-28,,,0.000296273542600897
2010-05-30,0.000124746971748383,,
2010-06-01,,,0.000341674074074074
2010-06-03,0.000129703805062888,,
2010-06-05,,,0.000313889655172414
2010-06-07,0.000128877666177137,,
2010-06-09,,,0.000367119047619048
2010-06-11,0.000138791332806148,,
2010-06-13,,,0.000353
2010-06-15,0.00016935153872945,,
2010-06-17,,,0.000321582191780822
2010-06-19,0.000136518077139047,,
2010-06-21,,,0.000394279220779221
2010-06-23,0.000147750577156816,,
2010-06-25,,,0.000315286666666667
2010-06-27,0.000153374207557116,,
2010-06-29,,,0.000440656804733728
2010-07-01,0.00020064047277912,,
2010-07-03,,,0.000341783018867925
2010-07-05,0.000169772707736179,,
2010-07-07,,,0.000421756410256411
2010-07-09,0.000220799974472116,,
2010-07-11,,,0.000503731843575419
2010-07-13,0.00167856925065505,,
2010-07-15,,,0.000873351524879612
2010-07-17,0.00165149555306384,,
2010-07-19,,,0.000837040229885057
2010-07-21,0.00182296230447484,,
2010-07-23,,,0.000528159793814433
2010-07-25,0.00193125709483968,,
2010-07-27,,,0.000760271084337349
2010-07-29,0.0021244834042325,,
2010-07-31,,,0.000470704433497536
2010-08-02,0.00308353591242889,,
2010-08-04,,,0.000489045267489712
2010-08-06,0.00281847061359461,,
2010-08-08,,,0.000529195979899497
2010-08-10,0.0036237479317645,,
2010-08-12,,,0.000459806451612903
2010-08-14,0.00456907347918133,,
2010-08-16,,,0.00104987755102041
2010-08-18,0.00338357325016817,,
2010-08-20,,,0.000595834196891192
2010-08-22,0.00506263967506365,,
2010-08-24,,,0.000836125581395348
2010-08-26,0.00529160327845849,,
2010-08-28,,,0.000607464705882352
2010-08-30,0.00461732134494324,,
2010-09-01,,,0.000894592356687897
2010-09-03,0.00495819741738872,,
2010-09-05,,,0.000546139393939394
2010-09-07,0.0046792988126606,,
2010-09-09,,,0.000714725925925925
2010-09-11,0.00574090721074621,,
2010-09-13,,,0.000776836257309941
2010-09-15,0.00666228738037215,,
2010-09-17,,,0.000726538461538462
2010-09-19,0.00958137886113681,,
2010-09-21,,,0.00155547093023256
2010-09-23,0.00967263008838573,,
2010-09-25,,,0.000777256038647343
2010-09-27,0.0108588960426217,,
2010-09-29,,,0.00220010365853658
2010-10-01,0.0102260252243218,,
2010-10-03,,,0.000938459016393443
2010-10-05,0.00806282758071523,,
2010-10-07,,,0.000668512499999999
2010-10-09,0.0100293708930848,,
2010-10-11,,,0.000656584905660377
2010-10-13,0.0115768636273677,,
2010-10-15,,,0.000531745762711864
2010-10-17,0.0193176067628266,,
2010-10-19,,,0.00116453515625
2010-10-21,0.0248910297496032,,
2010-10-23,,,0.000902537142857142
2010-10-25,0.0224339753108011,,
2010-10-27,,,0.000909333333333333
2010-10-29,0.0251046866573251,,
2010-10-31,,,0.000541128491620112
2010-11-02,0.0258201005069688,,
2010-11-04,,,0.000513716417910448
2010-11-06,0.0310455970381411,,
2010-11-08,,,0.000844556363636364
2010-11-10,0.0435221497768396,,
2010-11-12,,,0.000467840236686391
2010-11-14,0.0536698012792116,,
2010-11-16,,,0.0109536446700508
2010-11-18,0.059307385447196,,
2010-11-20,,,0.0190513275862069
2010-11-22,0.0546168613375639,,
2010-11-24,,,0.00550090395480226
2010-11-26,0.0692951428220342,,
2010-11-28,,,0.000715238372093025
2010-11-30,0.0843295455223728,,
2010-12-02,,,0.000696579787234043
2010-12-04,0.0879436689019031,,
2010-12-06,,,0.000502975103734441
2010-12-08,0.0927625000746101,,
2010-12-10,,,0.000704333333333334
2010-12-12,0.105974736816725,,
2010-12-14,,,0.00102975595238095
2010-12-16,0.11328333935581,,
2010-12-18,,,0.000871720496894411
2010-12-20,0.0968389836428695,,
2010-12-22,,,0.00123445222929936
2010-12-24,0.108001742450377,,
2010-12-26,,,0.00114606206896552
2010-12-28,0.121681963160758,,
2010-12-30,,,0.00105281656804734
2011-01-01,0.128162067707781,,
2011-01-03,,,0.00248239102564103
2011-01-05,0.121596943772684,,
2011-01-07,,,0.0016767256097561
2011-01-09,0.12321823635632,,
2011-01-11,,,0.00230592441860465
2011-01-13,0.149969563986311,,
2011-01-15,,,0.00191677707006369
2011-01-17,0.158561467414078,,
2011-01-19,,,0.00169433727810651
2011-01-21,0.163144168784427,,
2011-01-23,,,0.00221606470588235
2011-01-25,0.142980282754891,,
2011-01-27,,,0.00186745625
2011-01-29,0.164136211725285,,
2011-01-31,,,0.00303661176470589
2011-02-02,0.177267108663308,,
2011-02-04,,,0.00152528350515464
2011-02-06,0.191492247012833,,
2011-02-08,,,0.00156452380952381
2011-02-10,0.244256346380359,,
2011-02-12,,,0.00305862755102041
2011-02-14,0.240379261517179,,
2011-02-16,,,0.00259160344827586
2011-02-18,0.391485054897639,,
2011-02-20,,,0.00287585353535354
2011-02-22,0.384235331658794,,
2011-02-24,,,0.00319936714975845
2011-02-26,0.454920133237534,,
2011-02-28,,,0.00375151333333333
2011-03-02,0.467009518958862,,
2011-03-04,,,0.00313659276018099
2011-03-06,0.746109882360313,,
2011-03-08,,,0.00446394117647059
2011-03-10,0.450719122534764,,
2011-03-12,,,0.00611977142857142
2011-03-14,0.443144011231659,,
2011-03-16,,,0.00697068382352941
2011-03-18,0.522682679914265,,
2011-03-20,,,0.0102258686131387
2011-03-22,0.477232012095633,,
2011-03-24,,,0.00518074342105263
2011-03-26,0.483475502411536,,
2011-03-28,,,0.00637905357142857
2011-03-30,0.53490906649787,,
2011-04-01,,,0.00351244318181818
2011-04-03,0.572627013494514,,
2011-04-05,,,0.00392278350515464
2011-04-07,0.663134715812337,,
2011-04-09,,,0.00402010256410257
2011-04-11,0.630387322438889,,
2011-04-13,,,0.0048363969072165
2011-04-15,0.552612263176948,,
2011-04-17,,,0.00461062777777778
2011-04-19,0.647277934068425,,
2011-04-21,,,0.00466414965986394
2011-04-23,0.78040601979881,,
2011-04-25,,,0.006000640625
2011-04-27,0.872218492716317,,
2011-04-29,,,0.006751525
2011-05-01,1.06853945167215,,
2011-05-03,,,0.00611831122448979
2011-05-05,1.24299487235332,,
2011-05-07,,,0.00639411682242991
2011-05-09,1.35748124217533,,
2011-05-11,,,0.00712548691099477
2011-05-13,1.57286756773456,,
2011-05-15,,,0.00775789545454545
2011-05-17,2.03455506274122,,
2011-05-19,,,0.0115662514619883
2011-05-21,2.58473318607827,,
2011-05-23,,,0.00817860839160839
2011-05-25,3.5433900954688,,
2011-05-27,,,0.0113128862275449
2011-05-29,3.73988894768231,,
2011-05-31,,,0.0171564533333333
2011-06-02,4.10739248589387,,
2011-06-04,,,0.0167568080357143
2011-06-06,7.04978032426183,,
2011-06-08,,,0.0306714324324324
2011-06-10,6.37300141313269,,
2011-06-12,,,0.0227149785407725
2011-06-14,6.34480229183565,,
2011-06-16,,,0.0301788055555555
2011-06-18,8.80591615374559,,
2011-06-20,,,0.0185010555555555
2011-06-22,11.7702839678778,,
2011-06-24,,,0.0199230462962963
2011-06-26,10.6268031804332,,
2011-06-28,,,0.02801901875
2011-06-30,12.4093637139252,,
2011-07-02,,,0.0219172781065089
2011-07-04,11.2438433651035,,
2011-07-06,,,0.030170152866242
2011-07-08,11.4216858394628,,
2011-07-10,,,0.0286646277372263
2011-07-12,11.188590210086,,
2011-07-14,,,0.0263398958333333
2011-07-16,12.3540683569699,,
2011-07-18,,,0.0270034705882353
2011-07-20,12.0198487388041,,
2011-07-22,,,0.0253276953642384
2011-07-24,14.7936599862205,,
2011-07-26,,,0.0215330397727273
2011-07-28,14.0371660096524,,
2011-07-30,,,0.0171240131578947
2011-08-01,16.431116869293,,
2011-08-03,,,0.0221687643312102
2011-08-05,12.9571093026425,,
2011-08-07,,,0.0224250634920635
2011-08-09,12.4876488206627,,
2011-08-11,,,0.0226319489051095
2011-08-13,12.0181883386829,,
2011-08-15,,,0.0297441782945736
2011-08-17,11.5792819314549,,
2011-08-19,,,0.0270468473282443
2011-08-21,13.0154719384571,,
2011-08-23,,,0.0206492451612903
2011-08-25,11.4895200560173,,
2011-08-27,,,0.0249463524590164
2011-08-29,11.2202344297044,,
2011-08-31,,,0.0190860774193548
2011-09-02,14.3165311122368,,
2011-09-04,,,0.0401631268656716
2011-09-06,13.2560473261452,,
2011-09-08,,,0.0219244651162791
2011-09-10,12.6374317842584,,
2011-09-12,,,0.0232297518796993
2011-09-14,13.2639252302093,,
2011-09-16,,,0.0221358823529412
2011-09-18,14.5728652200325,,
2011-09-20,,,0.0281208571428571
2011-09-22,13.0893998982328,,
2011-09-24,,,0.0208347054263566
2011-09-26,11.954985240386,,
2011-09-28,,,0.0168386598639456
2011-09-30,10.3292040558972,,
2011-10-02,,,0.0173146694214876
2011-10-04,10.9170449371271,,
2011-10-06,,,0.0203124765625
2011-10-08,10.83306766838,,
2011-10-10,,,0.0196977073170732
2011-10-12,9.99329498090868,,
2011-10-14,,,0.0189398201438849
2011-10-16,8.97708003840482,,
2011-10-18,,,0.017740025
2011-10-20,7.51739222728209,,
2011-10-22,,,0.0220488571428571
2011-10-24,8.97708003840482,,
2011-10-26,,,0.0189952735042735
2011-10-28,7.44440783672595,,
2011-10-30,,,0.0182225363636364
2011-11-01,8.73436486000387,,
2011-11-03,,,0.01939228
2011-11-05,8.97366252740123,,
2011-11-07,,,0.018046303030303
2011-11-09,10.1103264475387,,
2011-11-11,,,0.0183717105263158
2011-11-13,8.79418927685321,,
2011-11-15,,,0.0163877393939394
2011-11-17,8.59551078000283,,
2011-11-19,,,0.0167495447154472
2011-11-21,8.00271693310608,,
2011-11-23,,,0.0169490298507463
2011-11-25,7.70632000965771,,
2011-11-27,,,0.0180732368421053
2011-11-29,8.23983447186478,,
2011-12-01,,,0.0162863241758242
2011-12-03,8.132965581692,,
2011-12-05,,,0.0165071139240506
2011-12-07,7.97030627005816,,
2011-12-09,,,0.0160826598639456
2011-12-11,7.86186672896894,,
2011-12-13,,,0.018647553030303
2011-12-15,7.06232384270858,,
2011-12-17,,,0.0142405704697987
2011-12-19,8.67000731909753,,
2011-12-21,,,0.0163248791946309
2011-12-23,8.72742458611142,,
2011-12-25,,,0.0128903390804598
2011-12-27,9.1680048812832,,
2011-12-29,,,0.0168043913043478
2011-12-31,9.28332569739997,,
2012-01-02,,,0.0191207483443709
2012-01-04,8.87970284099127,,
2012-01-06,,,0.0217526081871345
2012-01-08,9.28332569739997,,
2012-01-10,,,0.0296705531914894
2012-01-12,10.3211337404744,,
2012-01-14,,,0.0199715
2012-01-16,9.82372970478891,,
2012-01-18,,,0.0248155546875
2012-01-20,8.58021961557513,,
2012-01-22,,,0.0166229264705882
2012-01-24,8.77601647007213,,
2012-01-26,,,0.0220953333333333
2012-01-28,10.076167058231,,
2012-01-30,,,0.0157924941860465
2012-02-01,8.77601647007213,,
2012-02-03,,,0.0207704113924051
2012-02-05,9.3272398828152,,
2012-02-07,,,0.0221416861313869
2012-02-09,9.87590105239257,,
2012-02-11,,,0.0231644733333333
2012-02-13,10.0816489909841,,
2012-02-15,,,0.0300388358208955
2012-02-17,9.73873575999822,,
2012-02-19,,,0.0165001962025317
2012-02-21,8.75729367404835,,
2012-02-23,,,0.0225711265060241
2012-02-25,11.42553159036,,
2012-02-27,,,0.0195683701298701
2012-02-29,12.7254423701015,,
2012-03-02,,,0.0280369776119403
2012-03-04,9.67397724650567,,
2012-03-06,,,0.0233877591240876
2012-03-08,11.6087726958068,,
2012-03-10,,,0.0183330909090909
2012-03-12,12.5761704204574,,
2012-03-14,,,0.0261258394160584
2012-03-16,10.6507281967033,,
2012-03-18,,,0.01637530625
2012-03-20,11.0231312805041,,
2012-03-22,,,0.0192394683544304
2012-03-24,12.810666082748,,
2012-03-26,,,0.0211
2012-03-28,11.8424180648659,,
2012-03-30,,,0.0203751753246753
2012-04-01,12.1284618185812,,
2012-04-03,,,0.027281
2012-04-05,9.62191304274106,,
2012-04-07,,,0.0211538217054264
2012-04-09,12.209318230705,,
2012-04-11,,,0.0263220709219858
2012-04-13,9.88325160797756,,
2012-04-15,,,0.0296182523364486
2012-04-17,11.1382676851811,,
2012-04-19,,,0.0236392675159236
2012-04-21,11.5304602093072,,
2012-04-23,,,0.024876437037037
2012-04-25,10.8245136658802,,
2012-04-27,,,0.0250394962962963
2012-04-29,12.4487382935262,,
2012-05-01,,,0.0281751352941177
2012-05-03,12.4487382935262,,
2012-05-05,,,0.0341468682634731
2012-05-07,12.8237002903192,,
2012-05-09,,,0.0478159638554217
2012-05-11,10.5974601790129,,
2012-05-13,,,0.0459544142857143
2012-05-15,11.2867258817129,,
2012-05-17,,,0.0679506034482758
2012-05-19,12.5790990742755,,
2012-05-21,,,0.110299301587302
2012-05-23,10.4251437533379,,
2012-05-25,,,0.104401925619835
2012-05-27,12.9712135181187,,
2012-05-29,,,0.10555926984127
2012-05-31,11.5475437417398,,
2012-06-02,,,0.0362292
2012-06-04,11.9430075685117,,
2012-06-06,,,0.0478406405228758
2012-06-08,11.7057292724486,,
2012-06-10,,,0.10271228313253
2012-06-12,11.0180276735338,,
2012-06-14,,,0.179401384615385
2012-06-16,12.5920316268957,,
2012-06-18,,,0.0998434799999999
2012-06-20,11.6726201299773,,
2012-06-22,,,0.0806735
2012-06-24,12.0159324867414,,
2012-06-26,,,0.0885516845637584
2012-06-28,11.5867920407863,,
2012-06-30,,,0.0721435151515151
2012-07-02,13.8183223597526,,
